entry_time,exit_time,spread_side,long_symbol,short_symbol,entry_z,exit_z,pnl,holding_bars,holding_hours,exit_reason
2026-01-17 00:20:00+00:00,2026-01-17 04:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.8751,0.6939,-2.9302,47,3.92,signal
2026-01-17 09:35:00+00:00,2026-01-17 10:30:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.3853,-0.7305,6.3137,11,0.92,signal
2026-01-17 16:25:00+00:00,2026-01-17 20:35:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.2337,0.5948,22.5535,50,4.17,signal
2026-01-18 00:05:00+00:00,2026-01-18 00:15:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.3684,-0.3811,17.5927,2,0.17,signal
2026-01-18 01:15:00+00:00,2026-01-18 02:35:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.071,-0.415,18.3823,16,1.33,signal
2026-01-18 09:25:00+00:00,2026-01-18 10:45:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.4327,-0.044,19.6365,16,1.33,signal
2026-01-18 17:35:00+00:00,2026-01-18 17:45:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.2226,-0.6285,13.3081,2,0.17,signal
2026-01-18 17:55:00+00:00,2026-01-18 18:30:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1507,-0.6499,10.8881,7,0.58,signal
2026-01-18 20:30:00+00:00,2026-01-18 23:15:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.2833,-0.5571,7.3841,33,2.75,signal
2026-01-19 00:05:00+00:00,2026-01-19 01:10:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.7805,0.2798,15.5833,13,1.08,signal
2026-01-19 04:00:00+00:00,2026-01-19 04:25:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0427,0.2959,12.7893,5,0.42,signal
2026-01-19 14:25:00+00:00,2026-01-19 16:50:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.8958,0.1923,33.3792,29,2.42,signal
2026-01-20 04:35:00+00:00,2026-01-20 07:20:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.6913,0.5883,10.0246,33,2.75,signal
2026-01-20 08:20:00+00:00,2026-01-20 08:50:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1814,0.744,26.5047,6,0.5,signal
2026-01-20 13:25:00+00:00,2026-01-20 14:10:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1632,0.1631,19.384,9,0.75,signal
2026-01-20 15:20:00+00:00,2026-01-20 16:10:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.0121,0.086,27.2049,10,0.83,signal
2026-01-20 16:45:00+00:00,2026-01-20 16:50:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.7694,-0.2452,23.5002,1,0.08,signal
2026-01-20 17:50:00+00:00,2026-01-20 22:15:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.0128,0.637,14.9434,53,4.42,signal
2026-01-21 00:00:00+00:00,2026-01-21 00:20:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1314,0.5789,25.0826,4,0.33,signal
2026-01-21 03:10:00+00:00,2026-01-21 09:10:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.8444,1.9834,0.2254,72,6.0,timeout
2026-01-21 10:25:00+00:00,2026-01-21 14:30:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0111,-0.0955,14.1073,49,4.08,signal
2026-01-21 18:55:00+00:00,2026-01-21 19:15:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.849,0.6951,34.567,4,0.33,signal
2026-01-22 00:40:00+00:00,2026-01-22 06:40:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.0937,1.3963,32.8948,72,6.0,timeout
2026-01-23 09:25:00+00:00,2026-01-23 11:25:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1358,0.7445,7.5144,24,2.0,signal
2026-01-23 12:45:00+00:00,2026-01-23 13:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.2647,0.3923,34.8937,4,0.33,signal
2026-01-23 14:45:00+00:00,2026-01-23 15:45:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0772,0.7466,8.976,12,1.0,signal
2026-01-23 19:35:00+00:00,2026-01-23 20:40:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0719,0.091,13.5383,13,1.08,signal
2026-01-23 21:15:00+00:00,2026-01-23 21:35:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1798,0.1957,21.7277,4,0.33,signal
2026-01-24 00:35:00+00:00,2026-01-24 02:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.5838,-0.1631,18.0735,18,1.5,signal
2026-01-24 09:25:00+00:00,2026-01-24 09:30:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.0582,0.626,25.8832,1,0.08,signal
2026-01-24 15:05:00+00:00,2026-01-24 15:55:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.6635,-0.5009,18.0692,10,0.83,signal
2026-01-25 03:50:00+00:00,2026-01-25 04:45:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.5526,-0.2325,25.4907,11,0.92,signal
2026-01-25 12:15:00+00:00,2026-01-25 13:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.0928,-0.1094,16.4941,10,0.83,signal
2026-01-25 13:55:00+00:00,2026-01-25 14:25:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.1087,0.0111,17.5615,6,0.5,signal
2026-01-25 16:25:00+00:00,2026-01-25 17:50:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1725,0.1261,16.4512,17,1.42,signal
2026-01-25 18:15:00+00:00,2026-01-25 18:45:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.5347,0.143,21.6846,6,0.5,signal
2026-01-25 19:35:00+00:00,2026-01-25 20:30:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.9677,0.598,14.689,11,0.92,signal
2026-01-25 21:05:00+00:00,2026-01-26 03:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,4.2868,1.0516,22.6142,72,6.0,timeout
2026-01-26 06:10:00+00:00,2026-01-26 06:55:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.8424,-0.0911,34.8521,9,0.75,signal
2026-01-26 09:25:00+00:00,2026-01-26 15:25:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.3105,1.4333,39.2321,72,6.0,timeout
2026-01-26 15:45:00+00:00,2026-01-26 16:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.5959,0.5201,27.1369,6,0.5,signal
2026-01-26 16:50:00+00:00,2026-01-26 22:50:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.202,0.962,9.2363,72,6.0,timeout
2026-01-27 00:40:00+00:00,2026-01-27 00:55:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1692,-0.4735,25.012,3,0.25,signal
2026-01-27 04:45:00+00:00,2026-01-27 10:45:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.2939,-2.0941,41.9328,72,6.0,timeout
2026-01-27 10:50:00+00:00,2026-01-27 16:10:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.0733,0.6398,27.3714,64,5.33,signal
2026-01-27 23:05:00+00:00,2026-01-28 00:25:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.6615,0.7338,30.2447,16,1.33,signal
2026-01-29 02:50:00+00:00,2026-01-29 05:35:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.1391,-0.7475,7.2591,33,2.75,signal
2026-01-29 05:55:00+00:00,2026-01-29 07:20:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.155,0.4958,16.838,17,1.42,signal
2026-01-29 07:50:00+00:00,2026-01-29 09:00:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0975,-0.0612,19.7396,14,1.17,signal
2026-01-29 11:10:00+00:00,2026-01-29 16:40:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.0923,0.5499,14.1741,66,5.5,signal
2026-01-29 17:50:00+00:00,2026-01-29 18:15:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.4356,0.0631,20.3286,5,0.42,signal
2026-01-29 19:35:00+00:00,2026-01-30 00:55:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.7711,0.5763,29.5055,64,5.33,signal
2026-01-30 07:00:00+00:00,2026-01-30 13:00:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.8365,-1.6729,38.2939,72,6.0,timeout
2026-01-30 13:15:00+00:00,2026-01-30 14:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.2911,0.1817,25.2025,10,0.83,signal
2026-01-30 15:35:00+00:00,2026-01-30 18:25:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.4024,-0.6161,27.6506,34,2.83,signal
2026-01-30 19:45:00+00:00,2026-01-30 21:00:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.629,0.3922,27.0267,15,1.25,signal
2026-01-31 05:40:00+00:00,2026-01-31 06:00:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.0716,-0.3313,15.9261,4,0.33,signal
2026-01-31 08:45:00+00:00,2026-01-31 09:00:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.0676,0.1366,21.5145,3,0.25,signal
2026-01-31 15:55:00+00:00,2026-01-31 17:00:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.0012,0.2238,32.2198,13,1.08,signal
2026-01-31 17:20:00+00:00,2026-01-31 18:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.8587,-0.4836,21.9707,9,0.75,signal
2026-01-31 18:20:00+00:00,2026-01-31 19:15:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.7597,0.0266,24.3249,11,0.92,signal
2026-01-31 21:55:00+00:00,2026-01-31 23:05:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.8659,0.2357,35.448,14,1.17,signal
2026-02-01 15:25:00+00:00,2026-02-01 17:30:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.0473,0.3537,29.7818,25,2.08,signal
2026-02-01 18:05:00+00:00,2026-02-01 21:40:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.8887,0.7478,15.8185,43,3.58,signal
2026-02-01 23:20:00+00:00,2026-02-02 00:25:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.8735,0.0878,26.6336,13,1.08,signal
2026-02-02 03:50:00+00:00,2026-02-02 04:25:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.4746,-0.5041,17.05,7,0.58,signal
2026-02-02 09:25:00+00:00,2026-02-02 09:45:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.2151,-0.3762,17.3835,4,0.33,signal
2026-02-02 14:45:00+00:00,2026-02-02 15:10:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0368,0.2756,16.4109,5,0.42,signal
2026-02-02 21:10:00+00:00,2026-02-02 21:15:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.0935,-0.0128,21.0384,1,0.08,signal
2026-02-02 23:30:00+00:00,2026-02-03 00:10:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.7201,0.2027,23.3805,8,0.67,signal
2026-02-03 01:55:00+00:00,2026-02-03 02:50:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1526,0.6605,12.679,11,0.92,signal
2026-02-03 09:30:00+00:00,2026-02-03 13:55:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.7727,-0.7497,34.4007,53,4.42,signal
2026-02-03 16:15:00+00:00,2026-02-03 16:40:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.5344,0.145,22.5617,5,0.42,signal
2026-02-03 21:55:00+00:00,2026-02-03 22:10:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.3375,-0.11,24.1978,3,0.25,signal
2026-02-03 22:35:00+00:00,2026-02-03 23:35:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1924,-0.1362,23.944,12,1.0,signal
2026-02-04 00:05:00+00:00,2026-02-04 00:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.5997,-0.182,38.1143,2,0.17,signal
2026-02-04 00:40:00+00:00,2026-02-04 04:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.6657,3.06,-16.1818,43,3.58,signal
2026-02-04 08:45:00+00:00,2026-02-04 10:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.5413,1.3925,3.338,18,1.5,signal
2026-02-05 11:25:00+00:00,2026-02-05 14:00:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-4.6932,-0.4592,28.6981,31,2.58,signal
2026-02-05 16:00:00+00:00,2026-02-05 17:20:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.9727,-6.7436,-47.1612,16,1.33,stop
2026-02-05 19:45:00+00:00,2026-02-05 20:35:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.2176,-6.6333,-57.3293,10,0.83,stop
2026-02-06 01:05:00+00:00,2026-02-06 01:50:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0034,0.2562,15.5479,9,0.75,signal
2026-02-06 06:05:00+00:00,2026-02-06 07:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1702,0.5845,15.4169,12,1.0,signal
2026-02-06 09:45:00+00:00,2026-02-06 14:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.7114,-0.379,20.9169,52,4.33,signal
2026-02-06 14:50:00+00:00,2026-02-06 16:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.777,-0.5773,32.3357,15,1.25,signal
2026-02-06 16:20:00+00:00,2026-02-06 16:25:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.5383,6.1478,-46.1527,1,0.08,stop
2026-02-06 18:25:00+00:00,2026-02-06 19:30:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.0204,0.2131,14.358,13,1.08,signal
2026-02-06 20:35:00+00:00,2026-02-06 20:55:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.5104,-0.0126,24.9949,4,0.33,signal
2026-02-06 21:35:00+00:00,2026-02-07 00:25:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.969,-0.717,30.289,34,2.83,signal
2026-02-07 00:35:00+00:00,2026-02-07 01:55:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.3808,-0.6237,28.1113,16,1.33,signal
2026-02-07 07:00:00+00:00,2026-02-07 07:45:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.1303,0.2951,15.1397,9,0.75,signal
2026-02-07 12:25:00+00:00,2026-02-07 12:30:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.6024,0.6646,35.7672,1,0.08,signal
2026-02-07 12:45:00+00:00,2026-02-07 15:05:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.3575,-0.0398,20.2801,28,2.33,signal
2026-02-07 16:15:00+00:00,2026-02-07 18:15:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,3.204,0.7398,18.353,24,2.0,signal
2026-02-07 18:55:00+00:00,2026-02-07 19:50:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.4477,0.2583,26.8094,11,0.92,signal
2026-02-07 22:20:00+00:00,2026-02-08 00:40:00+00:00,SHORT_SPREAD,DOTUSDT,ATOMUSDT,2.269,0.5449,13.1163,28,2.33,signal
2026-02-08 04:00:00+00:00,2026-02-08 05:10:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-3.1687,0.3765,40.4056,14,1.17,signal
2026-02-08 07:05:00+00:00,2026-02-08 07:35:00+00:00,LONG_SPREAD,ATOMUSDT,DOTUSDT,-2.3767,0.4161,29.4397,6,0.5,signal
